User;Timestamp;CPU;Memoria;Disco;Rede;Processos;Data_Boot;uptime_min;temperaturaCPU;indoor
COD001;01/10/2025 08:00;54.32;58.04;81.15;0.19;337;01/10/2025 00:00;480.0;58;1
COD001;01/10/2025 08:01;50.13;61.74;81.15;0.19;337;01/10/2025 00:00;481.0;55;1
COD001;01/10/2025 08:02;34.43;60.4;81.15;0.19;337;01/10/2025 00:00;482.0;48;1
COD001;01/10/2025 08:03;45.32;60.61;81.15;0.19;337;01/10/2025 00:00;483.0;55;1
COD001;01/10/2025 08:04;49.85;60.48;81.15;0.19;337;01/10/2025 00:00;484.0;55;1
COD001;01/10/2025 08:05;40.58;60.85;81.15;0.19;337;01/10/2025 00:00;485.0;50;1
COD001;01/10/2025 08:06;47.61;61.21;81.15;0.19;337;01/10/2025 00:00;486.0;56;1
COD001;01/10/2025 08:07;46.63;59.21;81.15;0.19;337;01/10/2025 00:00;487.0;54;1
COD001;01/10/2025 08:08;46.03;58.15;81.15;0.19;337;01/10/2025 00:00;488.0;52;1
COD001;01/10/2025 08:09;44.9;58.85;81.15;0.19;337;01/10/2025 00:00;489.0;53;1
COD001;01/10/2025 08:10;49.28;59.81;81.15;0.19;337;01/10/2025 00:00;490.0;54;1
COD001;01/10/2025 08:11;54.8;56.79;81.15;0.19;337;01/10/2025 00:00;491.0;57;1
COD001;01/10/2025 08:12;39.74;61.24;81.15;0.19;337;01/10/2025 00:00;492.0;50;1
COD001;01/10/2025 08:13;53.82;57.6;81.15;0.19;337;01/10/2025 00:00;493.0;54;1
COD001;01/10/2025 08:14;48.35;60.6;81.15;0.19;337;01/10/2025 00:00;494.0;52;1
COD001;01/10/2025 08:15;49.99;59.68;81.15;0.19;337;01/10/2025 00:00;495.0;54;1
COD001;01/10/2025 08:16;39.04;60.23;81.15;0.19;337;01/10/2025 00:00;496.0;48;1
COD001;01/10/2025 08:17;48.07;59.33;81.15;0.19;337;01/10/2025 00:00;497.0;55;1
COD001;01/10/2025 08:18;57.64;60.16;81.15;0.19;337;01/10/2025 00:00;498.0;57;1
COD001;01/10/2025 08:19;39.82;59.34;81.15;0.19;337;01/10/2025 00:00;499.0;48;1
